GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
G28995,SEEDGWAS3343,CIMMYTMA-025264,1973-11-26,7,5,389,16.977888,-99.090407,3.11623558998946
G28998,SEEDGWAS4024,CIMMYTMA-025267,1968-01-01,7,5,883,21.250533,-104.880645,9.76904477066719
G28999,SEEDGWAS5357,CIMMYTMA-025269,1968-01-01,7,5,1172,21.320316,-104.575801,9.52210278490129
G29000,SEEDGWAS4189,CIMMYTMA-025270,1968-01-01,7,5,955,21.51,-104.8,9.80644304718984
G29001,SEEDGWAS2636,CIMMYTMA-025275,1975-01-01,7,5,1172,21.320316,-104.575801,9.52210278490129
G29002,SEEDGWAS3344,CIMMYTMA-025277,1975-01-01,7,5,883,21.250533,-104.880645,9.76904477066719
G29008,SEEDGWAS2637,CIMMYTMA-025278,1975-01-01,7,5,1172,21.320316,-104.575801,9.52210278490129
G29013,SEEDGWAS2638,CIMMYTMA-025279,1975-01-01,7,5,1172,21.320316,-104.575801,9.52210278490129
G29015,SEEDGWAS5358,CIMMYTMA-025280,1975-01-01,7,5,1172,21.320316,-104.575801,9.52210278490129
G29016,SEEDGWAS4025,CIMMYTMA-025282,1975-01-01,7,5,883,21.250533,-104.880645,9.76904477066719
G29020,SEEDGWAS4026,CIMMYTMA-025283,1975-01-01,7,5,883,21.250533,-104.880645,9.76904477066719
G29030,SEEDGWAS4027,CIMMYTMA-025284,1975-01-01,7,5,883,21.250533,-104.880645,9.76904477066719
G29040,SEEDGWAS2260,CIMMYTMA-025285,1975-01-01,7,5,883,21.250533,-104.880645,9.76904477066719
G29046,SEEDGWAS2261,CIMMYTMA-025286,1975-01-01,7,5,883,21.250533,-104.880645,9.76904477066719
G29050,SEEDGWAS4029,CIMMYTMA-025288,1975-01-01,7,5,800,20.8,-104.4,9.14770784283025
G29051,SEEDGWAS3345,CIMMYTMA-025289,1975-01-01,7,5,800,20.8,-104.4,9.14770784283025
G29052,SEEDGWAS3656,CIMMYTMA-025290,1975-01-01,7,5,1284,21.221061,-104.739704,9.62856190699717
G29054,SEEDGWAS3657,CIMMYTMA-025291,1975-01-01,7,5,1284,21.221061,-104.739704,9.62856190699717
G29055,SEEDGWAS3658,CIMMYTMA-025292,1975-01-01,7,5,1007,21.063194,-104.486205,9.33244888601662
G29056,SEEDGWAS674,CIMMYTMA-025293,1975-01-01,7,5,1284,21.221061,-104.739704,9.62856190699717
G29057,SEEDGWAS1722,CIMMYTMA-025295,1976-12-04,7,5,68,16.48333333,-94.35,1.79040636740509
G29060,SEEDGWAS512,NA,NA,NA,NA,NA,NA,NA,NA
